name,tokens/k,cost/$
b6bc700276bcbf659fc3dc22fb489f1a652f99909ed222358afc4b94a81e3bb4,7.357,0.052311
b6da369c254a99cfd4b5630428ece6d385128f020439d9567e4fdaaddc9c2fe6,2.887,0.023949
b6f5525585f77e3beedf825eac51bd14c4683b91bf4fa5c7f75dd53d214ff369,15.721,0.104424
b72c7c7856093f54e9e444f383b47c57ca9c41c1e3044c03b0d1d314ac22f715,51.473,0.417372
b7aa72bcbb2fef225af83222482c37ab9fd16fbbfdc1087184991017e4bca9e6,3.404,0.024442
b7b598066829001247224efcf7e4056d07001cbfa3d95cde8c441694e1a670cb,20.523,0.172026
b7ba2c72a41e4ba3db0b4dbf785cc5a2d57cf2cc8dc5d5006b0bdc300b7c60e3,9.027,0.052749
b7f7bedd8fc6cb545c893f897cc0841f7758ce4661c20b63b2990c9c899ea0bd,6.951,0.062391
b7fbc99a12153ffd2a3636716191828c2f6ad0b75042d447860ac42c00c09155,5.663,0.047774
b83fd67af67fdc528cce090cdbdb2d867763391d3243e5acde6bad66a1dfa539,2.559,0.017986
b84be09db2802db69f9805fa4f111b66ca7acc6b400392e6cc34148f297737bb,7.779,0.045318
b85d898ee9e09710c36b51859b89d747a5ca8d99b39c2ba6f3edc68e6078528e,7.969,0.050033
b8ca1c729013186dfd6a07afcc82afd96bb27dd2e181f49d6e6554e5c61f1b74,18.401,0.165418
b8ce2ce452a144fd8a8508461abfd20b7ccfab69389398b30f31163bfc831752,7.834,0.062368
b8d276777071c9e1b8fc37d9be2b12feea78383a52975e162d36417924e9ce49,32.687,0.220723
b8dbd5034d2d2c5b7504822dc24607c66f5b1e925e3599b584ebf86f2d4e4703,2.191,0.020635
b8e50cef52e1554df2da17e46d7996455ebe6e0bdcc9c623fe17fa21a86225cd,3.142,0.02416
b8fa56efe3ed38b06258f2b2d032565575fc91079df2141ed4d800ba988b4504,7.778,0.050046
b91ade1ab758da0e34bf5990ca27cc2516a6c979f0217be95d34f279023e4768,19.481,0.101585
b97a38b62274c928aad0d2add69aad9b91ecbb685a1dff298eee906871da226d,15.708,0.121383
b9b224b57eb8f95b2389085292ccb02887bee43a5d4e4501332f30cee58718fe,9.327,0.057458
b9f4f6c5da28708ab74b4e0623fcb1bc0c707547360a2bb19d72b2dfcf274096,5.363,0.034361
c0eae7e6c385001415c0f3438fef869d708f1163ba58c7f162990bb0ba5df86c,7.566,0.055962
d3e4e4e5123c9c8fbc81596aa469cf241bf2e7d16393d6094643b67c492b68cf,39.669,0.301397
d3f8de3bcecb36f13f6147c01e31ad0584af7b466bae30ddc91e018800f2e4ce,8.304,0.064712
d4a2e1ec653e219e2392d1a70cc6f87e03aa530d8469b823d5360044e95e9d7e,15.399,0.093522
d4dc45bd8f30ba4f603a4588592c044fb4e2cf1fe52b31c164859012dfbdf847,56.959,0.348304
d4defdb9403142c1d4c14b9d0e393d6ca8b342047dbf5654c2711b4bd61e5674,18.154,0.15478
d5a2b5f12e31f7f3fa5add5169024dc390c62033aaf858a59a9af22ff99b327b,14.613,0.119736
d5c10abce3b7ff3f626ca6c8caa2080461d254351c65d67ef00aa045eec30fc4,3.322,0.021922
d5c83f140c550810c82bb45e05674a8db31c78bf4ca768c299f5c2f8a3163e7a,10.092,0.059811
d5d5696745f33be7bb9b4a344a81c9635753b259aa86f8dd9e7c2dafc9e6b5b6,9.033,0.065118
d5d58d6b166d602aae64123743f72c7c797f6190ab95093223c2ae33d0381291,19.168,0.110876
d5e88fa4a0a896c8704cdcb3fca225028200a7ba46545c862d762b8609bab036,95.464,0.551916
d5fea23badc75de93f78bbb0c9f376d6ed997b474b7c36d062838eaa1a055e0f,6.982,0.051796
